Date,AMZN_P,BABA_P,WMT_P,AAPL_P,JD_P,AMZN_V,BABA_V,WMT_V,AAPL_V,JD_V
2020-03-02,1953.949951,210.9799957,112.6449051,73.89148712,43.29999924,6761700,21542200,17074200,341397200,45794500
2020-03-03,1908.98999,207.4100037,109.7578354,71.5447464,41.45999908,7534500,20813800,11113600,319475600,29036500
2020-03-04,1975.829956,211.9600067,113.5100632,74.8633194,43.90999985,4772900,12474400,8208400,219178400,22143600
2020-03-05,1924.030029,211.4600067,112.6837921,72.43497467,44.61999893,4748200,13462900,8546100,187572800,24148600
2020-03-06,1901.089966,204.6399994,113.9572296,71.47303009,42.15999985,5273600,21700500,9803700,226176800,25393700
2020-03-09,1800.609985,197.6600037,113.889183,65.82007599,39.90999985,7813200,25502600,19747800,286744800,26241900
2020-03-10,1891.819946,206.3899994,116.4457626,70.56054688,41.79999924,7133300,19022600,12599100,285290000,21203800
2020-03-11,1820.859985,198.9100037,111.2353897,68.1099472,41.52999878,5624800,18908200,10540000,255598800,27069600
2020-03-12,1676.609985,185.1000061,101.1451721,61.38376999,38.25999832,11346200,30247100,18774400,418474000,30770700
2020-03-13,1785,194,110.9146118,68.73805237,39.70999908,8809700,23650500,14320700,370732000,22982900
2020-03-16,1689.150024,178.8500061,103.7795181,59.89511108,35.24000168,8917300,26628500,12251300,322423600,25203900
2020-03-17,1807.839966,184.8099976,115.9305573,62.52870178,38.34999847,10917100,19276500,17602000,324056000,27822600
2020-03-18,1830,180,119.1578674,60.99800491,37.70000076,9645200,22054200,25785300,300233600,23689500
2020-03-19,1880.930054,180.8800049,116.6290207,60.53063202,37.20999908,10399900,20905700,19033500,271857200,25834000
2020-03-20,1846.089966,181.3000031,111.2784424,56.68781281,37.65999985,9817900,21006100,18474500,401693200,21050400
2020-03-23,1902.829956,176.3399963,111.5811157,55.48352814,38.61000061,7808500,22554700,13122000,336752800,18926300
2020-03-24,1940.099976,185.75,112.3134155,61.04993439,41.00999832,7147100,20801500,14235000,287531200,24405700
2020-03-25,1885.839966,188.5599976,106.8163681,60.71362686,41.34999847,6479100,19605200,17762500,303602000,18686200
2020-03-26,1955.48999,195.3200073,107.2264557,63.90855789,42.00999832,6221300,15416800,19416900,252087200,20472700
2020-03-27,1900.099976,188.5899963,106.9921265,61.26259995,40.15000153,5387900,13376400,12053500,204216800,12299800
2020-03-30,1963.949951,191.2700043,112.4696274,63.01091003,40.38999939,6126100,12254400,9737500,167976400,14771100
2020-03-31,1949.719971,194.4799957,110.9367142,62.88231659,40.5,5123600,19084800,8752800,197002000,13864300
2020-04-01,1907.699951,187.5599976,111.4444427,59.57363892,40.90999985,4121900,17948600,9423200,176218400,21650800
2020-04-02,1918.829956,188.8999939,115.8479156,60.56772232,40.08000183,4336000,13412100,9838500,165934000,21452200
2020-04-03,1906.589966,187.1100006,116.6583176,59.69727707,39.88999939,3609900,9483100,9541700,129880000,12172500
2020-04-06,1997.589966,196.4499969,123.0926819,64.90511322,41.56000137,5773200,13248700,15922900,201820400,15125700
2020-04-07,2011.599976,198,119.1090393,64.15336609,41.99000168,5114000,14934500,13789900,202887200,16888500
2020-04-08,2043,195.9799957,118.9625702,65.79535675,41.16999817,3977300,13608000,9292200,168895200,14262800
2020-04-09,2042.76001,196.3699951,118.9235382,66.27013397,42.15999985,4646500,17821300,10942900,161834800,14805800
2020-04-13,2168.870117,199.4400024,122.3408737,67.57086182,42.77999878,6716700,16117900,8064700,131022800,10195700
2020-04-14,2283.320068,204.7799988,125.9534988,70.98340607,43.86000061,8087200,16757100,11366300,194994800,15310700
2020-04-15,2307.679932,208.1699982,125.7191467,70.33551025,44.59999847,6866600,10768100,7478400,131154400,22859100
2020-04-16,2408.189941,212.6600037,129.2048645,70.89437866,47.5,12038200,16353800,10627400,157125200,21130700
2020-04-17,2375,209.5,128.9998169,69.93244171,46.15000153,7930000,13558500,10305100,215250000,22001500
2020-04-20,2393.610107,212.1300049,126.7834167,68.48086548,45.20000076,5770700,19295400,8133900,130015200,17578900
2020-04-21,2328.120117,207.3399963,126.1585464,66.36410522,43.24000168,7476700,14107600,9300200,180991600,24335500
2020-04-22,2363.48999,209.9600067,128.4823151,68.27561951,44.99000168,4212200,13471100,6482700,116862400,13759000
2020-04-23,2399.449951,205.2400055,125.4945908,68.01102448,44.93999863,5066600,20424000,9613300,124814400,11766900
2020-04-24,2410.219971,204.3600006,126.3830948,69.97449493,45.04999924,3824900,14673900,5781200,126161200,8882800
2020-04-27,2376,203.6900024,125.2700272,70.02394104,45.58000183,5645600,17286800,5974600,117087600,8222400
2020-04-28,2314.080078,201.1499939,124.9771042,68.8888855,43.58000183,5269400,17203800,6910700,112004800,15863300
2020-04-29,2372.709961,206.6999969,120.681015,71.15156555,44.34000015,4591600,19117800,14870700,137280800,10799500
2020-04-30,2474,202.6699982,118.679451,72.65258789,43.09999847,9534600,20107400,13499300,183064000,14581400
